patent_id,assignee_id,assignee_organization
RE38535,1b6ad260-cab0-4148-8743-3a4315564814,SIEMENS AKTIENGESELLSCHAFT
RE38199,23124361-ee55-44b1-9be2-7df40008f4b5,FUJITSU LIMITED
RE30106,dc6ceccf-8e92-4ddf-9dc5-407debaa29eb,Allied Chemical Corporation
RE38298,1bf15c23-314a-4d7c-ad5b-485ec3dbbff1,Corning O.T.I. SpA
RE29721,c05069dc-709d-4690-a3dc-a40201be2666,Montedison S.p.A.
RE47156,e891aa11-be0b-462d-b23f-92b29f8510ad,Closure Systems International Inc.
RE28686,,
RE30271,30a36ede-fcc4-4344-8f4d-ed81bcd83cfc,RCA Corporation
RE29544,ba879b8f-a467-4a49-a1c6-ea0bbee13b95,ENERGY ABSORPTION SYSTEMS; INC.
RE45123,7369ff9c-fc8c-4972-be06-2b73ae71fbf9,The United States of America; as represented by the Secretary; Department of Health and Human Services
RE28844,77f0b2e2-179f-4584-8d98-b8cdb1e03a06,Ford Motor Company
RE29812,84022eef-b81e-48a7-a4f8-06c95bf2bb6e,Photon Power; Inc.
RE37808,0dcfbd03-41ee-4475-8474-6779b5948a78,SONY CORPORATION
RE37720,daeb6087-a256-4f9d-85e4-ba7e55e9efa2,Eli Lilly and Company
RE38648,41a4133d-78c1-4c6c-aab7-b0f0af293613,TDK CORPORATION
RE29070,,
3989654,3abc890c-6bc0-42dd-9aad-e2a245b9869d,Sumitomo Chemical Company; Limited
4117810,9701df25-c28f-4721-9620-00161a01c19f,Hoechst GmbH
4173791,371ec57c-866a-4def-a54f-1df97c390035,Fairchild Camera & Instrument Corp.
4035174,f29c6888-d4d2-458c-bdc1-76bb0e174f43,MERCK & CO.; INC.
patent_id,assignee_id,assignee_organization
